Model,Accuracy,Precision,Recall,F1-Score,Balanced Acc,MCC
NaiveBayes,0.69,0.7408194563513816,0.69,0.6941694997949466,0.6636689334576764,0.6887275782152829
LogisticRegression,0.9662068965517241,0.9676362531997376,0.9662068965517241,0.9645942360046966,0.9401444323182642,0.9660407489253309
NearestNeighbor,0.6810344827586207,0.723501124911249,0.6810344827586207,0.6802080169143737,0.6113287576684905,0.6795909430366379
MLP_Baseline,0.9551724137931035,0.9574652131268127,0.9551724137931035,0.9530937240667073,0.9262773918287723,0.9549538048471187
