Model,Accuracy,Precision,Recall,F1-Score,Balanced Acc,MCC
NaiveBayes,0.12931034482758622,0.13902634975345313,0.12931034482758622,0.11225117514485382,0.11641396523242363,0.12558881003408434
LogisticRegression,0.49310344827586206,0.49038855494350847,0.49310344827586206,0.47402199301354403,0.4196482436315093,0.4903844862141429
NearestNeighbor,0.19655172413793104,0.20839527642844594,0.19655172413793104,0.18360219710990472,0.14901637746972432,0.1923563927175708
MLP_Baseline,0.4508620689655172,0.45159913888793213,0.4508620689655172,0.4358715790636695,0.3856735415812495,0.4479793962027345
