Model,Accuracy,Precision,Recall,F1-Score,Balanced Acc,MCC
NaiveBayes,0.4802840116647648,0.5023404095397698,0.4802840116647648,0.46817352346957186,0.3933578745930723,0.4877271954173055
LogisticRegression,0.6571573475339165,0.5862392250800605,0.6571573475339165,0.611022466975484,0.498271208238781,0.6677047893454235
NearestNeighbor,0.5713621571362157,0.49536254265006674,0.5713621571362157,0.5134202926031327,0.36157721550137967,0.5800892641768925
MLP_Baseline,0.6200921347364862,0.576446579883166,0.6200921347364862,0.589358147834708,0.4428947326572065,0.6299298523521369
