Model,Accuracy,Precision,Recall,F1-Score,Balanced Acc,MCC
NaiveBayes,0.19119751908396945,0.16107138260310563,0.19119751908396945,0.15424357774750921,0.22556917112527225,0.22273287682479412
LogisticRegression,0.36951335877862596,0.2923846982777591,0.36951335877862596,0.30782106725996056,0.5457333045257633,0.43156549470598626
NearestNeighbor,0.1876192748091603,0.14469383237656097,0.1876192748091603,0.1419464869887093,0.20423018768876264,0.21811460837341928
MLP_Baseline,0.33098759541984735,0.2743435535144315,0.33098759541984735,0.28333515000704756,0.46829478436513033,0.38663080274622785
