Model,Accuracy,Precision,Recall,F1-Score,Balanced Acc,MCC
NaiveBayes,0.15344827586206897,0.18113176392810126,0.15344827586206897,0.14058727862757195,0.15344827586206897,0.15119492063883136
LogisticRegression,0.6520689655172414,0.6679555288074557,0.6520689655172414,0.6501588237267936,0.6520689655172414,0.6509374427195574
NearestNeighbor,0.23379310344827586,0.28306054949207043,0.23379310344827586,0.23143355934516163,0.2337931034482759,0.23140027770584162
MLP_Baseline,0.6220689655172413,0.6338050253839728,0.6220689655172413,0.6173322583563129,0.6220689655172414,0.6208360675594278
