Model,Accuracy,Precision,Recall,F1-Score,Balanced Acc,MCC
NaiveBayes,0.6186206896551724,0.6447218558388478,0.6186206896551724,0.6154665624269154,0.6186206896551725,0.6174595305966966
LogisticRegression,0.7793103448275862,0.7936063598335404,0.7793103448275862,0.778392329034398,0.7793103448275862,0.7786028269961345
NearestNeighbor,0.6317241379310344,0.6638100487640896,0.6317241379310344,0.6286558430227843,0.6317241379310344,0.6306022854897428
MLP_Baseline,0.7382758620689656,0.7518893431604279,0.7382758620689656,0.7353892914764365,0.7382758620689654,0.7374417813208771
