Model,Accuracy,Precision,Recall,F1-Score,Balanced Acc,MCC
NaiveBayes,0.14482758620689656,0.1717861596246671,0.14482758620689656,0.1364330189867844,0.14482758620689656,0.142186756861068
LogisticRegression,0.5137931034482759,0.5515900383141762,0.5137931034482759,0.5081462598703977,0.5137931034482759,0.5122929895249931
NearestNeighbor,0.17758620689655172,0.19589269260388617,0.17758620689655172,0.164466946733681,0.17758620689655172,0.1751116135062392
MLP_Baseline,0.4508620689655172,0.4776765188834154,0.4508620689655172,0.44079761234933645,0.4508620689655172,0.4491247421200574
