Model,Accuracy,Precision,Recall,F1-Score,Balanced Acc,MCC
NaiveBayes,0.25258864135550674,0.5719633226170061,0.25258864135550674,0.2647427950663723,0.13549758893561117,0.22786945242277687
LogisticRegression,0.6422183871979918,0.8167814208159645,0.6422183871979918,0.6734455553194143,0.4817672170480281,0.624447043550979
NearestNeighbor,0.34844681518669596,0.6276774052563378,0.34844681518669596,0.34980185478935466,0.20982320544096392,0.32156640273009834
MLP_Baseline,0.6906965798556637,0.8091020895826718,0.6906965798556637,0.6966429472448622,0.5109598814484062,0.6736351533188054
