Model,Accuracy,Precision,Recall,F1-Score,Balanced Acc,MCC
NaiveBayes,0.22238782554126138,0.34859099852229636,0.22238782554126138,0.22542599444725692,0.07200577629816712,0.1909016509697182
LogisticRegression,0.2971446501411986,0.48220325086940086,0.2971446501411986,0.30403243281232983,0.21685141562329116,0.2671813629292657
NearestNeighbor,0.2867900847191716,0.3544133731087228,0.2867900847191716,0.2714599860844611,0.08239148963836548,0.24343868228784438
MLP_Baseline,0.32381550047066204,0.46864664928164146,0.32381550047066204,0.31649659011139497,0.15938939815916775,0.28976933662199106
