Model,Accuracy,Precision,Recall,F1-Score,Balanced Acc,MCC
NaiveBayes,0.675,0.6104048858777961,0.675,0.6302893683114271,0.3911344537815126,0.6549663398344069
LogisticRegression,0.835,0.7898526429710642,0.835,0.8052236925983309,0.5922595704948647,0.8251233761414122
NearestNeighbor,0.69,0.6577681419457736,0.69,0.652587979361759,0.4458806022408964,0.6703864809561857
MLP_Baseline,0.8,0.7328354278123426,0.8,0.7576856111065361,0.5174731559290382,0.787391578324952
