Model,Accuracy,Precision,Recall,F1-Score,Balanced Acc,MCC
NaiveBayes,0.506140350877193,0.6262197222145698,0.506140350877193,0.5297284824187193,0.5482508209129979,0.47006753571071536
LogisticRegression,0.8508771929824561,0.8523299032129368,0.8508771929824561,0.8488301652095915,0.7392263795214714,0.8316016995404746
SVMLinear,0.8416666666666667,0.8435050222469962,0.8416666666666667,0.8401920366630676,0.7259448755350648,0.8213510912432437
SVMPolynomial,0.6517543859649123,0.7355707947759067,0.6517543859649123,0.635606315207003,0.42384229204748536,0.614865745320956
SVMRadialBasis,0.8565789473684211,0.8535558712959634,0.8565789473684211,0.8445271782016264,0.5681993864332961,0.837536574260357
NearestNeighbor,0.7473684210526316,0.7422566270965281,0.7473684210526316,0.7349286438371512,0.5281927230305564,0.7133672533834328
RandomForest,0.6903508771929825,0.7106878090761739,0.6903508771929825,0.6538726674761326,0.3422918740819754,0.6463605175442445
MLP_Baseline,0.8570175438596491,0.8548338398354661,0.8570175438596491,0.854140156511192,0.7035827631475096,0.8385211768266303
