Model,Accuracy,Precision,Recall,F1-Score,Balanced Acc,MCC
NaiveBayes,0.1681247622670217,0.24666389328103244,0.1681247622670217,0.15766118385565434,0.1330360299018365,0.16986626903145544
LogisticRegression,0.599847850893876,0.5517964186630704,0.599847850893876,0.5653343230633445,0.39139542395945953,0.609262628231075
NearestNeighbor,0.28274375554710285,0.31152168562476795,0.28274375554710285,0.2750169569630846,0.16177029509198465,0.28588003239761883
MLP_Baseline,0.5849287857656058,0.5465164443291711,0.5849287857656058,0.5578044056416984,0.36096822025649455,0.5940576576358659
