Model,Accuracy,Precision,Recall,F1-Score,Balanced Acc,MCC
NaiveBayes,0.36689066396179365,0.4117786301710684,0.36689066396179365,0.3596717494323673,0.2640339844470875,0.3722349118144165
LogisticRegression,0.601496132876886,0.549805013060474,0.601496132876886,0.5644924265534313,0.40692744988253526,0.6109330443793205
NearestNeighbor,0.43447022526520435,0.43045675724138854,0.43447022526520435,0.4157104818854063,0.24986281728730134,0.4405885296097776
MLP_Baseline,0.5709817843709057,0.5317740063853211,0.5709817843709057,0.5439246757500491,0.36906236023658673,0.5798223858897303
