Model,Accuracy,Precision,Recall,F1-Score,Balanced Acc,MCC
NaiveBayes,0.4457968809433245,0.4722215203647889,0.4457968809433245,0.43786516752620874,0.3109029807731537,0.4525950132090775
LogisticRegression,0.6701322851950468,0.6156902947068046,0.6701322851950468,0.6319705954840397,0.5007318658651843,0.680968885539462
NearestNeighbor,0.5435526816279954,0.5190141159801476,0.5435526816279954,0.5180046602228716,0.3390752891680043,0.5518663456125006
MLP_Baseline,0.6479861375258865,0.6020452670837697,0.6479861375258865,0.6165533615715407,0.46018150851273276,0.6583783039879174
