Model,Accuracy,Precision,Recall,F1-Score,Balanced Acc,MCC
NaiveBayes,0.88,0.8919677945997903,0.88,0.8837107554322048,0.8640460923705975,0.7622234085008925
LogisticRegression,0.9784615384615385,0.9786667227662715,0.9784615384615385,0.9778832626186513,0.9069711612923211,0.9547419460863702
SVMLinear,0.9846153846153847,0.9847574577730958,0.9846153846153847,0.9843672270933934,0.9363287179010625,0.9677182085922944
SVMPolynomial,0.96,0.9609880028228652,0.96,0.9558919511860688,0.7910122974940371,0.915367947493169
SVMRadialBasis,0.9538461538461539,0.9552020351860756,0.9538461538461539,0.9459917099349885,0.7354567419384815,0.9021839597160962
NearestNeighbor,0.9230769230769231,0.9191498827885759,0.9230769230769231,0.9159132222616094,0.7078415884521264,0.8353132198801727
RandomForest,0.9230769230769231,0.8888620659494446,0.9230769230769231,0.9055637140418306,0.6326239816621751,0.8350466396025944
MLP_Baseline,0.9846153846153847,0.9847186720588442,0.9846153846153847,0.984376363531527,0.9380169129263081,0.9677467136047486
