Model,Accuracy,Precision,Recall,F1-Score,Balanced Acc,MCC
NaiveBayes,0.9969230769230769,0.9971597633136096,0.9969230769230769,0.9969809610816737,0.9984202211690363,0.9936238277721163
LogisticRegression,0.9969230769230769,0.9969529499626586,0.9969230769230769,0.9969269273105668,0.9984202211690363,0.993607184106389
SVMLinear,0.9969230769230769,0.9969529499626586,0.9969230769230769,0.9969269273105668,0.9984202211690363,0.993607184106389
SVMPolynomial,0.9046153846153846,0.9150187617260788,0.9046153846153846,0.8956954519499588,0.679792770188644,0.7990841584591305
SVMRadialBasis,0.9907692307692307,0.9910329670329671,0.9907692307692307,0.9907545787545788,0.9690626645602949,0.980901428565755
NearestNeighbor,0.9938461538461538,0.9938905406738343,0.9938461538461538,0.9935775752817786,0.9444444444444445,0.9871446217040174
RandomForest,0.9815384615384616,0.9820319303338171,0.9815384615384616,0.979643424310493,0.8595313322801474,0.9614662244795883
MLP_Baseline,1.0,1.0,1.0,1.0,1.0,1.0
