Model,Accuracy,Precision,Recall,F1-Score,Balanced Acc,MCC
NaiveBayes,0.6383333333333333,0.6634603071702747,0.6383333333333333,0.635558822751758,0.642981140487424,0.6372218792375219
LogisticRegression,0.8208333333333333,0.8273999134592115,0.8208333333333333,0.8207042836256326,0.8206314665337437,0.8202170819798346
NearestNeighbor,0.7048333333333333,0.7208235012231807,0.7048333333333333,0.7016558129305295,0.7028617650726952,0.7038515231656189
MLP_Baseline,0.7936666666666666,0.7990369066211925,0.7936666666666666,0.7930157706458697,0.7931918656513847,0.7929538662463479
