Model,Accuracy,Precision,Recall,F1-Score,Balanced Acc,MCC
NaiveBayes,0.23196864111498258,0.5197912894550816,0.23196864111498258,0.22635256929752517,0.16894327682115556,0.229215176731992
LogisticRegression,0.2825783972125436,0.44844681293108213,0.2825783972125436,0.28190377581268894,0.2669713707901209,0.2595675038382803
NearestNeighbor,0.25757839721254355,0.4885539307874,0.25757839721254355,0.2497259541079595,0.26401792213143455,0.23855162205868322
MLP_Baseline,0.3553135888501742,0.49793274392069753,0.3553135888501742,0.35580856770930913,0.2911790753604573,0.3257451981512945
