Model,Accuracy,Precision,Recall,F1-Score,Balanced Acc,MCC
NaiveBayes,0.1816740646797717,0.3238881665562096,0.1816740646797717,0.18154097116548681,0.22720259175633378,0.1798034345935075
LogisticRegression,0.8106372859860494,0.8154873266399183,0.8106372859860494,0.8103342296910376,0.7847728285770929,0.8096306353529786
NearestNeighbor,0.3235573874445149,0.40587888623225055,0.3235573874445149,0.33263991801361925,0.29850019559682567,0.32025634223706917
MLP_Baseline,0.7806753329105898,0.7838497426584274,0.7806753329105898,0.7797545382185689,0.7552778167506232,0.7795210655424082
