Model,Accuracy,Precision,Recall,F1-Score,Balanced Acc,MCC
NaiveBayes,0.2935161699429296,0.36360325004539273,0.2935161699429296,0.29084831581623377,0.32876965786459755,0.29113927421355856
LogisticRegression,0.6719245402663284,0.6784001718337936,0.6719245402663284,0.6716027057580247,0.6453804120244697,0.6701798646344853
NearestNeighbor,0.4361128725428028,0.4769491412553076,0.4361128725428028,0.43212578459411866,0.3828484097277545,0.4330586768183087
MLP_Baseline,0.6290424857324033,0.6371872392539294,0.6290424857324033,0.6291809505428598,0.6053705566256231,0.6271334665216195
