Model,Accuracy,Precision,Recall,F1-Score,Balanced Acc,MCC
NaiveBayes,0.13173747622067217,0.24097589217201268,0.13173747622067217,0.1260258044961326,0.1637342453562375,0.12963001709867827
LogisticRegression,0.5119689283449588,0.5221146877792747,0.5119689283449588,0.5116848818032945,0.46690003630829907,0.5092994059915968
NearestNeighbor,0.1934844641724794,0.2727715332274644,0.1934844641724794,0.20038711375982413,0.16645806768512478,0.1894480442299985
MLP_Baseline,0.5386810399492707,0.543900297482192,0.5386810399492707,0.5384776555480625,0.5065514499853886,0.5362636084671946
