Model,Accuracy,Precision,Recall,F1-Score,Balanced Acc,MCC
NaiveBayes,0.14310344827586208,0.13556650246305418,0.14310344827586208,0.12616447728516691,0.14310344827586208,0.14039115899614174
LogisticRegression,0.39827586206896554,0.3921018062397372,0.39827586206896554,0.37115216201423096,0.39827586206896554,0.3965037722655373
NearestNeighbor,0.11551724137931034,0.09938970990695127,0.11551724137931034,0.09764258054318906,0.11551724137931034,0.11275886045008485
MLP_Baseline,0.2896551724137931,0.26123973727422006,0.2896551724137931,0.2604542966611932,0.2896551724137931,0.2874313946635082
