Model,Accuracy,Precision,Recall,F1-Score,Balanced Acc,MCC
NaiveBayes,0.9526315789473684,0.9654306745070754,0.9526315789473684,0.9564553083756774,0.8545774930261426,0.9494791163585489
LogisticRegression,0.9956140350877193,0.9951638389338027,0.9956140350877193,0.9949955424580377,0.9433082706766918,0.9953071952288051
NearestNeighbor,0.9631578947368421,0.9599462709661466,0.9631578947368421,0.9575704964423811,0.7755423170904744,0.9605701409438715
MLP_Baseline,0.9951754385964913,0.9948562887418132,0.9951754385964913,0.9946649894564232,0.937128033616328,0.9948381853996772
