Model,Accuracy,Precision,Recall,F1-Score,Balanced Acc,MCC
NaiveBayes,0.28615319419430024,0.3674894901787804,0.28615319419430024,0.299334432092395,0.2894775819126154,0.21589196277038739
LogisticRegression,0.20733128509375992,0.4173460120674599,0.20733128509375992,0.2422963280686354,0.17079331656498595,0.17181869943198835
NearestNeighbor,0.24684818307024048,0.47593879626210206,0.24684818307024048,0.23321025612045107,0.3136826333123866,0.14951814529434684
MLP_Baseline,0.30755376628880177,0.4795621314599245,0.30755376628880177,0.28535475695733065,0.3119275198476377,0.21610986386510364
