Model,Accuracy,Precision,Recall,F1-Score,Balanced Acc,MCC
NaiveBayes,0.351577909270217,0.3600709643096673,0.351577909270217,0.3300622105671529,0.21150756352042888,0.34992598081809717
LogisticRegression,0.571992110453649,0.5581478542573185,0.571992110453649,0.5399700412080436,0.3902808233352348,0.5706386430649609
NearestNeighbor,0.35428994082840237,0.37592806800904893,0.35428994082840237,0.33677512508186774,0.19930386298842642,0.3523145497028481
MLP_Baseline,0.4933431952662722,0.49873310704555557,0.4933431952662722,0.47505021813065273,0.3146854112006657,0.4918014307879925
