Model,Accuracy,Precision,Recall,F1-Score,Balanced Acc,MCC
NaiveBayes,0.6754385964912281,0.7254612579017101,0.6754385964912281,0.6825120956986728,0.6985575924115303,0.6444434342867755
LogisticRegression,0.9407894736842105,0.9364456240027471,0.9407894736842105,0.9371508283127028,0.7835726628420658,0.9332097837815666
SVMLinear,0.9605263157894737,0.9597140998013154,0.9605263157894737,0.959020989176657,0.8475131426470325,0.955524806431534
SVMPolynomial,0.9298245614035088,0.9254397618258875,0.9298245614035088,0.9242159073573988,0.7306339861926916,0.9207681958176848
SVMRadialBasis,0.9192982456140351,0.9129373350568216,0.9192982456140351,0.9124586499174264,0.6882085299989832,0.9088440192730326
NearestNeighbor,0.8442982456140351,0.8441296673327302,0.8442982456140351,0.8376363437701758,0.6397578368505105,0.8241034140970409
RandomForest,0.8048245614035088,0.8069412255769566,0.8048245614035088,0.7849512805641288,0.45452561526964624,0.779102861381584
MLP_Baseline,0.9592105263157895,0.9588444257460493,0.9592105263157895,0.9578200507119315,0.8518118842068567,0.9539916792121089
